CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
71,78,Gain,Back + Biceps,Back + Biceps,Chest + Triceps,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs
74,67,Lose,Cardio + Legs,Full Body HIIT,Core Focus,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Cardio Endurance
119,105,Lose,Core Focus,Cardio Endurance,Cardio + Legs,Cardio Endurance,Cardio + Core,Core Focus,Cardio + Legs
55,69,Gain,Chest + Biceps,Full Body Strength,Shoulders + Abs,Full Body Strength,Legs,Glutes + Core,Legs
70,57,Lose,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio + Core
75,65,Lose,Full Body HIIT,Cardio + Core,Cardio Endurance,Cardio + Legs,Core Focus,Cardio + Legs,Cardio Endurance
95,99,Gain,Chest + Biceps,Chest + Biceps,Back + Biceps,Back + Biceps,Shoulders + Abs,Glutes + Core,Legs
108,101,Lose,Cardio + Legs,HIIT + Full Body,Core Focus,Cardio + Core,Cardio Endurance,Cardio Endurance,Cardio + Abs
81,87,Gain,Chest + Biceps,Legs,Shoulders + Abs,Glutes + Core,Legs,Chest + Triceps,Shoulders + Abs
118,132,Gain,Glutes + Core,Chest + Triceps,Chest + Triceps,Full Body Strength,Glutes + Core,Chest + Triceps,Full Body Strength
112,120,Gain,Back + Biceps,Legs,Chest + Triceps,Chest + Biceps,Glutes + Core,Full Body Strength,Back + Biceps
97,112,Gain,Full Body Strength,Back + Biceps,Chest + Biceps,Chest + Biceps,Back + Biceps,Back + Biceps,Chest + Biceps
74,69,Lose,Full Body HIIT,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Abs,Core Focus,Cardio + Abs
100,114,Gain,Back + Biceps,Glutes + Core,Glutes + Core,Shoulders + Abs,Glutes + Core,Full Body Strength,Shoulders + Abs
49,50,Gain,Legs,Chest + Triceps,Back + Biceps,Legs,Shoulders + Abs,Back + Biceps,Chest + Triceps
95,106,Gain,Legs,Shoulders + Abs,Back + Biceps,Back + Biceps,Full Body Strength,Shoulders + Abs,Chest + Triceps
67,61,Lose,HIIT + Full Body,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Full Body HIIT,Cardio + Legs,HIIT + Full Body
51,54,Gain,Shoulders + Abs,Chest + Triceps,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Triceps,Full Body Strength
104,97,Lose,Cardio + Legs,Core Focus,HIIT + Full Body,HIIT + Full Body,Cardio + Legs,Full Body HIIT,Cardio + Legs
73,76,Gain,Glutes + Core,Legs,Full Body Strength,Chest + Triceps,Glutes + Core,Back + Biceps,Glutes + Core
50,43,Lose,Full Body HIIT,Core Focus,Cardio + Core,Cardio + Abs,Core Focus,Cardio + Legs,HIIT + Full Body
52,39,Lose,Full Body HIIT,Cardio + Abs,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Cardio Endurance,HIIT + Full Body
83,95,Gain,Legs,Chest + Biceps,Back + Biceps,Chest + Triceps,Chest + Triceps,Shoulders + Abs,Full Body Strength
103,101,Lose,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio Endurance,Cardio + Legs,Cardio Endurance,Core Focus
57,72,Gain,Chest + Biceps,Glutes + Core,Chest + Biceps,Chest + Triceps,Chest + Biceps,Glutes + Core,Glutes + Core
57,56,Lose,Cardio + Legs,Cardio Endurance,Cardio + Core,Full Body HIIT,HIIT + Full Body,Full Body HIIT,Full Body HIIT
71,61,Lose,HIIT + Full Body,Core Focus,Cardio Endurance,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Cardio + Legs
113,127,Gain,Full Body Strength,Glutes + Core,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Legs,Back + Biceps
80,86,Gain,Shoulders + Abs,Chest + Triceps,Full Body Strength,Glutes + Core,Glutes + Core,Back + Biceps,Chest + Biceps
105,90,Lose,Cardio + Legs,Cardio Endurance,Cardio + Abs,Cardio + Core,Full Body HIIT,Cardio Endurance,Core Focus
100,106,Gain,Chest + Biceps,Legs,Chest + Triceps,Glutes + Core,Chest + Biceps,Full Body Strength,Glutes + Core
66,75,Gain,Legs,Full Body Strength,Chest + Triceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Chest + Biceps
65,54,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Legs,Core Focus
104,111,Gain,Chest + Triceps,Glutes + Core,Full Body Strength,Chest + Biceps,Shoulders + Abs,Chest + Biceps,Chest + Biceps
57,55,Lose,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Cardio + Abs,Cardio Endurance,HIIT + Full Body
112,106,Lose,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio Endurance,Cardio + Legs,HIIT + Full Body,HIIT + Full Body
58,47,Lose,Cardio + Core,Core Focus,Cardio + Legs,Cardio + Abs,Full Body HIIT,Cardio + Legs,Cardio + Legs
50,54,Gain,Glutes + Core,Legs,Back + Biceps,Full Body Strength,Glutes + Core,Chest + Biceps,Full Body Strength
90,78,Lose,Full Body HIIT,Cardio + Abs,Full Body HIIT,Cardio + Legs,Core Focus,Cardio Endurance,Cardio + Legs
87,101,Gain,Chest + Biceps,Shoulders + Abs,Legs,Chest + Triceps,Shoulders + Abs,Full Body Strength,Glutes + Core
117,127,Gain,Shoulders + Abs,Glutes + Core,Back + Biceps,Full Body Strength,Chest + Biceps,Legs,Full Body Strength
106,106,Maintain,Strength + Flexibility,Yoga + Full Body,Strength Light,Strength Light,Strength Light,HIIT + Core,Strength + Flexibility
72,79,Gain,Shoulders + Abs,Glutes + Core,Chest + Biceps,Glutes + Core,Legs,Back + Biceps,Full Body Strength
50,35,Lose,Cardio + Abs,Cardio + Core,Cardio + Legs,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio Endurance
66,52,Lose,Cardio Endurance,Cardio + Abs,Cardio + Legs,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Full Body HIIT
113,119,Gain,Shoulders + Abs,Back + Biceps,Full Body Strength,Legs,Chest + Triceps,Back + Biceps,Legs
99,95,Lose,HIIT + Full Body,Cardio + Abs,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio Endurance
113,108,Lose,Cardio Endurance,Cardio + Abs,Cardio + Abs,Cardio + Legs,Full Body HIIT,Cardio + Legs,Core Focus
116,107,Lose,Full Body HIIT,Cardio Endurance,Cardio + Legs,Cardio + Abs,Cardio + Legs,Cardio + Legs,Cardio Endurance
62,62,Maintain,Jogging + Core,Cardio + Flex,Yoga + Full Body,Yoga + Full Body,Yoga + Full Body,Strength + Flexibility,Jogging + Core
95,107,Gain,Glutes + Core,Legs,Legs,Chest + Biceps,Glutes + Core,Glutes + Core,Legs
105,117,Gain,Legs,Shoulders + Abs,Back + Biceps,Full Body Strength,Legs,Glutes + Core,Full Body Strength
61,46,Lose,Cardio + Abs,Cardio + Legs,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio + Core,Cardio Endurance
47,58,Gain,Chest + Biceps,Shoulders + Abs,Chest + Biceps,Back + Biceps,Glutes + Core,Chest + Triceps,Glutes + Core
58,48,Lose,Cardio + Abs,Cardio + Legs,Cardio + Core,Cardio + Core,Cardio Endurance,Cardio Endurance,Core Focus
87,102,Gain,Chest + Triceps,Legs,Shoulders + Abs,Chest + Biceps,Glutes + Core,Legs,Back + Biceps
76,76,Maintain,Strength Light,Cardio + Flex,Strength Light,Yoga + Core,Strength Light,Jogging + Core,Cardio + Flex
65,51,Lose,Cardio Endurance,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Core Focus,Core Focus,Cardio + Abs
66,80,Gain,Back + Biceps,Shoulders + Abs,Chest + Triceps,Glutes + Core,Chest + Triceps,Chest + Triceps,Glutes + Core
48,50,Gain,Back + Biceps,Back + Biceps,Shoulders + Abs,Glutes + Core,Chest + Triceps,Full Body Strength,Chest + Biceps
67,62,Lose,Cardio + Core,Full Body HIIT,Cardio + Legs,Cardio + Abs,Cardio + Abs,Cardio + Legs,Core Focus
68,66,Lose,Core Focus,Core Focus,Full Body HIIT,Cardio Endurance,Cardio + Legs,Core Focus,Full Body HIIT
86,80,Lose,Core Focus,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Legs
104,117,Gain,Back + Biceps,Glutes + Core,Glutes + Core,Chest + Triceps,Chest + Triceps,Full Body Strength,Chest + Biceps
77,89,Gain,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Back + Biceps,Shoulders + Abs,Glutes + Core
55,42,Lose,Cardio + Legs,Cardio + Legs,Cardio + Core,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio + Abs
88,73,Lose,Cardio + Core,Cardio + Core,Cardio Endurance,Cardio Endurance,Cardio + Core,HIIT + Full Body,Cardio + Core
109,106,Lose,Cardio + Abs,Full Body HIIT,Cardio + Legs,Cardio + Core,HIIT + Full Body,Full Body HIIT,Full Body HIIT
106,103,Lose,Core Focus,Cardio + Legs,Cardio + Abs,Core Focus,Cardio + Abs,Cardio + Core,Cardio + Core
99,96,Lose,Cardio + Legs,Cardio + Abs,Cardio + Abs,Core Focus,Cardio + Core,HIIT + Full Body,Full Body HIIT
81,70,Lose,Core Focus,Full Body HIIT,Cardio + Abs,HIIT + Full Body,Full Body HIIT,Core Focus,Cardio Endurance
47,32,Lose,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Full Body HIIT,Cardio + Core,Cardio + Legs,Cardio + Legs
98,97,Lose,Cardio + Core,Full Body HIIT,Core Focus,Cardio + Abs,Cardio + Legs,Cardio + Abs,Cardio + Abs
53,47,Lose,Full Body HIIT,Cardio + Abs,Cardio Endurance,Cardio + Abs,Core Focus,Full Body HIIT,Cardio Endurance
57,69,Gain,Glutes + Core,Legs,Shoulders + Abs,Legs,Chest + Biceps,Chest + Biceps,Chest + Biceps
99,109,Gain,Chest + Biceps,Back + Biceps,Legs,Chest + Triceps,Glutes + Core,Back + Biceps,Glutes + Core
57,59,Gain,Glutes + Core,Chest + Biceps,Legs,Full Body Strength,Full Body Strength,Shoulders + Abs,Legs
70,67,Lose,Cardio + Abs,Cardio + Legs,Cardio + Legs,Cardio + Abs,Cardio + Core,Core Focus,Cardio + Abs
73,61,Lose,Cardio Endurance,Cardio + Abs,Cardio + Abs,Full Body HIIT,Full Body HIIT,Core Focus,Cardio + Abs
90,82,Lose,Cardio + Core,Full Body HIIT,Cardio + Legs,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio + Abs
95,104,Gain,Chest + Triceps,Glutes + Core,Chest + Biceps,Back + Biceps,Glutes + Core,Back + Biceps,Chest + Triceps
66,78,Gain,Legs,Full Body Strength,Full Body Strength,Back + Biceps,Back + Biceps,Glutes + Core,Shoulders + Abs
102,95,Lose,Cardio Endurance,HIIT + Full Body,Full Body HIIT,Core Focus,HIIT + Full Body,Full Body HIIT,Cardio Endurance
109,116,Gain,Back + Biceps,Chest + Biceps,Glutes + Core,Full Body Strength,Back + Biceps,Chest + Triceps,Back + Biceps
89,95,Gain,Back + Biceps,Chest + Biceps,Back + Biceps,Shoulders + Abs,Glutes + Core,Glutes + Core,Chest + Biceps
89,104,Gain,Full Body Strength,Chest + Biceps,Shoulders + Abs,Back + Biceps,Chest + Biceps,Legs,Full Body Strength
100,95,Lose,HIIT + Full Body,Cardio + Legs,Full Body HIIT,Cardio + Abs,Core Focus,Cardio Endurance,Cardio Endurance
55,40,Lose,Cardio + Core,Full Body HIIT,Cardio + Legs,HIIT + Full Body,Cardio + Abs,HIIT + Full Body,Cardio Endurance
78,88,Gain,Chest + Triceps,Back + Biceps,Chest + Triceps,Chest + Biceps,Legs,Back + Biceps,Full Body Strength
86,86,Maintain,Yoga + Full Body,HIIT + Core,Jogging + Core,HIIT + Core,Strength Light,Strength + Flexibility,Jogging + Core
99,111,Gain,Legs,Back + Biceps,Chest + Triceps,Chest + Biceps,Legs,Legs,Chest + Triceps
45,41,Lose,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio Endurance,Core Focus,HIIT + Full Body,Cardio Endurance
46,45,Lose,Cardio + Abs,Cardio + Legs,Core Focus,Full Body HIIT,HIIT + Full Body,Core Focus,Full Body HIIT
106,101,Lose,Core Focus,Full Body HIIT,Cardio + Abs,Core Focus,Cardio + Legs,Cardio Endurance,Full Body HIIT
64,70,Gain,Back + Biceps,Chest + Biceps,Chest + Triceps,Legs,Chest + Biceps,Chest + Triceps,Chest + Triceps
106,111,Gain,Chest + Triceps,Full Body Strength,Shoulders + Abs,Glutes + Core,Legs,Chest + Triceps,Full Body Strength
115,114,Lose,Cardio + Core,HIIT + Full Body,Cardio + Legs,Cardio + Abs,HIIT + Full Body,HIIT + Full Body,Cardio + Abs
80,75,Lose,Cardio + Legs,Full Body HIIT,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Core,Core Focus
47,46,Lose,Cardio + Abs,Full Body HIIT,Cardio Endurance,Cardio + Core,Cardio + Abs,HIIT + Full Body,HIIT + Full Body
80,80,Maintain,Strength Light,Jogging + Core,Yoga + Core,Cardio + Flex,Yoga + Full Body,Jogging + Core,Yoga + Full Body
66,73,Gain,Legs,Full Body Strength,Shoulders + Abs,Glutes + Core,Full Body Strength,Legs,Chest + Biceps
106,96,Lose,Full Body HIIT,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Cardio + Legs,Cardio + Legs,Cardio Endurance
62,56,Lose,Cardio Endurance,Cardio + Core,Cardio Endurance,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Core
64,69,Gain,Full Body Strength,Legs,Legs,Chest + Triceps,Full Body Strength,Glutes + Core,Chest + Biceps
59,67,Gain,Full Body Strength,Shoulders + Abs,Chest + Triceps,Glutes + Core,Chest + Biceps,Chest + Triceps,Full Body Strength
100,106,Gain,Glutes + Core,Full Body Strength,Chest + Triceps,Back + Biceps,Full Body Strength,Shoulders + Abs,Chest + Triceps
76,62,Lose,Cardio + Abs,Full Body HIIT,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio + Abs,Full Body HIIT
45,35,Lose,Cardio + Legs,Cardio + Abs,Core Focus,Cardio + Abs,Full Body HIIT,Core Focus,Cardio + Abs
61,61,Maintain,Jogging + Core,Yoga + Full Body,Yoga + Core,Strength Light,Yoga + Full Body,Jogging + Core,Yoga + Core
85,90,Gain,Full Body Strength,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Shoulders + Abs,Legs,Back + Biceps
47,38,Lose,Full Body HIIT,Core Focus,HIIT + Full Body,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio + Legs
115,108,Lose,HIIT + Full Body,Cardio + Core,Cardio Endurance,Full Body HIIT,Core Focus,Cardio + Abs,Core Focus
66,71,Gain,Chest + Triceps,Glutes + Core,Chest + Triceps,Shoulders + Abs,Legs,Chest + Triceps,Full Body Strength
47,33,Lose,Cardio + Abs,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio + Legs,Core Focus,Full Body HIIT
53,44,Lose,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,Cardio + Core,Full Body HIIT,Full Body HIIT,Core Focus
47,42,Lose,Cardio Endurance,Full Body HIIT,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio + Legs
66,54,Lose,Cardio Endurance,Cardio + Legs,Cardio Endurance,Core Focus,Cardio + Abs,Cardio + Legs,HIIT + Full Body
116,118,Gain,Chest + Biceps,Chest + Biceps,Legs,Shoulders + Abs,Shoulders + Abs,Back + Biceps,Glutes + Core
66,58,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio Endurance,Cardio + Abs
102,106,Gain,Back + Biceps,Legs,Chest + Triceps,Full Body Strength,Glutes + Core,Back + Biceps,Chest + Biceps
45,54,Gain,Full Body Strength,Legs,Back + Biceps,Back + Biceps,Chest + Biceps,Back + Biceps,Shoulders + Abs
114,117,Gain,Full Body Strength,Full Body Strength,Chest + Triceps,Shoulders + Abs,Legs,Shoulders + Abs,Legs
110,113,Gain,Back + Biceps,Back + Biceps,Chest + Biceps,Chest + Triceps,Back + Biceps,Back + Biceps,Glutes + Core
48,53,Gain,Shoulders + Abs,Back + Biceps,Glutes + Core,Back + Biceps,Chest + Biceps,Chest + Triceps,Chest + Triceps
93,82,Lose,Full Body HIIT,Cardio Endurance,Full Body HIIT,Cardio + Core,Core Focus,HIIT + Full Body,Cardio + Abs
98,110,Gain,Shoulders + Abs,Legs,Back + Biceps,Chest + Biceps,Full Body Strength,Glutes + Core,Legs
81,95,Gain,Full Body Strength,Chest + Biceps,Legs,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Biceps
47,60,Gain,Chest + Triceps,Legs,Back + Biceps,Full Body Strength,Chest + Biceps,Chest + Triceps,Chest + Biceps
61,66,Gain,Glutes + Core,Chest + Triceps,Legs,Back + Biceps,Back + Biceps,Full Body Strength,Back + Biceps
102,98,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio Endurance,Cardio Endurance,Core Focus,Cardio + Core
114,118,Gain,Chest + Triceps,Full Body Strength,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Triceps,Legs
82,85,Gain,Chest + Triceps,Back + Biceps,Chest + Biceps,Full Body Strength,Glutes + Core,Glutes + Core,Chest + Triceps
120,108,Lose,Cardio + Abs,Cardio + Core,Cardio + Abs,Cardio Endurance,Cardio + Core,Core Focus,Cardio + Abs
79,80,Gain,Back + Biceps,Glutes + Core,Glutes + Core,Glutes + Core,Shoulders + Abs,Chest + Biceps,Chest + Biceps
105,91,Lose,Cardio + Core,HIIT + Full Body,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Abs,Cardio + Core
109,107,Lose,Cardio Endurance,Full Body HIIT,Cardio + Legs,Core Focus,Cardio + Core,Cardio + Abs,Cardio + Abs
70,66,Lose,Cardio Endurance,Full Body HIIT,Core Focus,Cardio + Core,HIIT + Full Body,Cardio + Legs,HIIT + Full Body
99,90,Lose,Core Focus,Cardio + Core,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Core Focus,Cardio + Legs
54,41,Lose,Cardio Endurance,Cardio + Abs,Full Body HIIT,Full Body HIIT,Core Focus,Cardio + Core,HIIT + Full Body
107,113,Gain,Chest + Biceps,Chest + Biceps,Chest + Biceps,Back + Biceps,Glutes + Core,Chest + Biceps,Chest + Biceps
76,74,Lose,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio + Core,Cardio + Core,HIIT + Full Body
100,89,Lose,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio Endurance,HIIT + Full Body,Cardio + Core,Cardio + Abs
72,77,Gain,Legs,Legs,Shoulders + Abs,Full Body Strength,Chest + Biceps,Shoulders + Abs,Shoulders + Abs
105,92,Lose,Core Focus,Core Focus,Cardio + Legs,Core Focus,Full Body HIIT,Cardio Endurance,Core Focus
63,60,Lose,Cardio + Legs,Core Focus,Cardio + Core,Cardio + Legs,Cardio Endurance,Cardio + Legs,Cardio Endurance
85,97,Gain,Legs,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Biceps,Legs,Chest + Biceps
99,99,Maintain,Yoga + Core,Strength Light,Yoga + Core,Cardio + Flex,HIIT + Core,Yoga + Full Body,Strength Light
78,68,Lose,Cardio + Abs,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Cardio + Core,Full Body HIIT,Full Body HIIT
85,88,Gain,Chest + Biceps,Legs,Chest + Biceps,Full Body Strength,Legs,Chest + Triceps,Back + Biceps
106,101,Lose,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Cardio + Core
54,53,Lose,Full Body HIIT,Cardio + Core,Cardio + Core,Core Focus,Cardio + Core,Core Focus,Full Body HIIT
98,105,Gain,Shoulders + Abs,Chest + Biceps,Chest + Biceps,Back + Biceps,Chest + Triceps,Full Body Strength,Chest + Triceps
67,72,Gain,Back + Biceps,Legs,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Biceps,Chest + Biceps
96,98,Gain,Back + Biceps,Shoulders + Abs,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Triceps,Glutes + Core
63,54,Lose,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Abs,HIIT + Full Body,Cardio + Abs,Cardio Endurance
63,56,Lose,Core Focus,Core Focus,Core Focus,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio Endurance
71,85,Gain,Full Body Strength,Chest + Biceps,Legs,Legs,Glutes + Core,Legs,Legs
116,118,Gain,Chest + Triceps,Full Body Strength,Chest + Triceps,Full Body Strength,Back + Biceps,Chest + Biceps,Shoulders + Abs
63,64,Gain,Back + Biceps,Back + Biceps,Glutes + Core,Back + Biceps,Shoulders + Abs,Full Body Strength,Full Body Strength
61,46,Lose,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio + Core,Cardio + Legs,Cardio Endurance,Full Body HIIT
50,59,Gain,Shoulders + Abs,Full Body Strength,Chest + Triceps,Chest + Biceps,Chest + Triceps,Glutes + Core,Legs
82,68,Lose,Cardio + Legs,Full Body HIIT,Cardio + Abs,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio + Core
97,97,Maintain,Strength + Flexibility,Strength Light,Strength + Flexibility,Cardio + Flex,Strength + Flexibility,Strength + Flexibility,Jogging + Core
105,107,Gain,Legs,Legs,Chest + Biceps,Chest + Triceps,Chest + Triceps,Glutes + Core,Legs
47,54,Gain,Shoulders + Abs,Glutes + Core,Chest + Biceps,Back + Biceps,Shoulders + Abs,Chest + Triceps,Chest + Biceps
84,76,Lose,Core Focus,HIIT + Full Body,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Core Focus,Full Body HIIT
91,95,Gain,Shoulders + Abs,Full Body Strength,Back + Biceps,Glutes + Core,Back + Biceps,Chest + Triceps,Shoulders + Abs
64,51,Lose,Core Focus,Cardio Endurance,Core Focus,Core Focus,Full Body HIIT,Full Body HIIT,Cardio + Abs
54,42,Lose,Core Focus,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Abs,Cardio + Core,Cardio Endurance
85,81,Lose,Full Body HIIT,Cardio + Core,Cardio + Core,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio + Core
119,111,Lose,Core Focus,Cardio + Legs,Cardio + Abs,Core Focus,Core Focus,HIIT + Full Body,HIIT + Full Body
45,51,Gain,Full Body Strength,Back + Biceps,Full Body Strength,Back + Biceps,Chest + Biceps,Chest + Biceps,Glutes + Core
117,122,Gain,Glutes + Core,Chest + Biceps,Chest + Triceps,Full Body Strength,Glutes + Core,Back + Biceps,Chest + Biceps
78,92,Gain,Full Body Strength,Legs,Shoulders + Abs,Chest + Biceps,Chest + Triceps,Glutes + Core,Shoulders + Abs
119,122,Gain,Chest + Triceps,Chest + Triceps,Chest + Triceps,Glutes + Core,Chest + Biceps,Full Body Strength,Back + Biceps
82,76,Lose,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Core,Cardio + Abs,Cardio + Core,HIIT + Full Body
90,77,Lose,Cardio Endurance,HIIT + Full Body,Full Body HIIT,Cardio + Core,Cardio + Abs,Cardio + Core,Full Body HIIT
113,112,Lose,Full Body HIIT,Cardio + Legs,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Full Body HIIT,HIIT + Full Body
67,63,Lose,Full Body HIIT,Full Body HIIT,Cardio Endurance,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Core
99,87,Lose,HIIT + Full Body,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Core,HIIT + Full Body,Cardio + Abs
120,110,Lose,Cardio + Legs,Cardio + Abs,Core Focus,HIIT + Full Body,Full Body HIIT,Cardio + Core,Core Focus
60,60,Maintain,Jogging + Core,Yoga + Core,HIIT + Core,Yoga + Full Body,Cardio + Flex,Strength Light,HIIT + Core
113,126,Gain,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Back + Biceps,Chest + Biceps,Glutes + Core
95,88,Lose,Full Body HIIT,Cardio + Abs,Cardio + Abs,Cardio + Core,HIIT + Full Body,Cardio Endurance,Core Focus
81,68,Lose,Core Focus,Cardio + Core,Cardio + Core,Cardio + Core,Cardio + Abs,HIIT + Full Body,Cardio + Abs
51,38,Lose,Cardio + Legs,Core Focus,Cardio + Legs,Cardio + Core,Cardio Endurance,Core Focus,Full Body HIIT
80,89,Gain,Glutes + Core,Chest + Triceps,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Legs,Legs
118,105,Lose,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio + Core,Cardio Endurance,Cardio + Core,Cardio Endurance
65,78,Gain,Legs,Chest + Triceps,Chest + Triceps,Full Body Strength,Glutes + Core,Shoulders + Abs,Shoulders + Abs
53,68,Gain,Shoulders + Abs,Chest + Triceps,Chest + Triceps,Legs,Shoulders + Abs,Legs,Chest + Triceps
92,97,Gain,Legs,Shoulders + Abs,Chest + Biceps,Back + Biceps,Legs,Glutes + Core,Back + Biceps
87,77,Lose,Cardio + Legs,Cardio Endurance,Core Focus,Cardio + Core,Core Focus,Full Body HIIT,Cardio + Abs
101,91,Lose,Full Body HIIT,Full Body HIIT,Core Focus,Cardio + Abs,Cardio + Legs,Cardio + Abs,Core Focus
117,120,Gain,Shoulders + Abs,Glutes + Core,Chest + Biceps,Chest + Biceps,Glutes + Core,Legs,Legs
71,76,Gain,Legs,Full Body Strength,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Legs,Chest + Biceps
69,56,Lose,HIIT + Full Body,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Core,Cardio + Abs,Cardio Endurance
59,65,Gain,Legs,Full Body Strength,Glutes + Core,Chest + Biceps,Back + Biceps,Chest + Triceps,Chest + Triceps
119,111,Lose,Cardio Endurance,Full Body HIIT,Core Focus,Full Body HIIT,Cardio Endurance,Full Body HIIT,Core Focus
59,53,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Legs
50,64,Gain,Back + Biceps,Chest + Triceps,Back + Biceps,Shoulders + Abs,Legs,Full Body Strength,Full Body Strength
104,96,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Core Focus,Cardio + Core
54,60,Gain,Glutes + Core,Back + Biceps,Legs,Shoulders + Abs,Chest + Biceps,Glutes + Core,Legs
81,81,Maintain,Cardio + Flex,Cardio + Flex,HIIT + Core,Cardio + Flex,Cardio + Flex,Strength Light,Yoga + Full Body
101,98,Lose,Core Focus,Core Focus,Cardio + Abs,HIIT + Full Body,Full Body HIIT,Cardio + Abs,HIIT + Full Body
104,93,Lose,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio Endurance
93,83,Lose,Cardio + Legs,Cardio + Core,Core Focus,Cardio Endurance,Cardio + Core,HIIT + Full Body,Full Body HIIT
110,118,Gain,Legs,Chest + Triceps,Back + Biceps,Full Body Strength,Full Body Strength,Chest + Biceps,Glutes + Core
83,82,Lose,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Legs,Full Body HIIT,HIIT + Full Body,Cardio + Legs
54,44,Lose,Cardio + Abs,Cardio + Legs,Full Body HIIT,Full Body HIIT,Core Focus,HIIT + Full Body,Cardio + Abs
46,51,Gain,Full Body Strength,Full Body Strength,Legs,Back + Biceps,Shoulders + Abs,Full Body Strength,Legs
